year,April,May,June
1980,0.8275,6.2293,13.3995
1981,5.3181,7.2155,14.4637
1982,1.7849,6.5572,11.1962
1983,-0.5959,5.405,10.8155
1984,0.1558,9.0738,11.8129
1985,3.7638,8.0004,13.1571
1986,3.1637,7.1167,12.9843
1987,3.6294,7.5087,13.2343
1988,3.2237,7.3885,13.8165
1989,4.8606,8.4967,11.8845
1990,4.0126,6.4976,14.3231
1991,1.6261,7.5215,12.2847
1992,5.3934,8.8036,11.4675
1993,2.0032,7.5693,11.6691
1994,2.862,8.4857,14.9507
1995,1.1317,5.3882,10.9293
1996,2.9277,10.0872,13.652
1997,0.8269,7.7534,12.7363
1998,1.042,8.3936,11.7276
1999,1.1866,6.48,11.961
2000,4.9155,9.8265,14.0123
2001,4.1522,9.1895,13.9564
2002,5.5728,8.6547,15.8509
2003,3.5223,8.6453,12.4282
2004,3.7714,8.8101,13.0455
2005,3.1851,8.6141,12.3951
2006,4.8766,9.7925,14.9624
2007,3.4527,8.256,13.7816
2008,1.7412,7.0611,13.1723
2009,2.3261,9.8223,11.8197
2010,3.3179,6.8607,14.5008
2011,3.09,5.9939,13.7426
2012,5.6046,9.5079,16.1327
2013,2.2348,7.9087,15.1378
2014,2.7281,7.4117,13.5158
2015,3.6502,6.7072,14.6072
2016,3.2407,7.1645,15.7388
2017,3.5673,7.3624,15.1777
2018,4.5436,10.4367,15.5592
2019,4.0639,5.3372,12.3856
2020,3.5821,10.1388,14.5101
2021,3.7037,8.6169,15.3221
2022,3.5817,8.7606,14.2781
2023,1.5932,8.9273,11.8148
2024,3.9387,6.7861,15.5895
2025,3.3763,7.6828,14.613
